variantaccession	chr	start	end	varianttype	variantsubtype	reference	pubmedid	method	supportingvariants	mergedorsample	samplesize	observedgains	observedlosses	genes	samples
nsv1076307	1	11599	72400	CNV	duplication	Thareja_et_al_2015	25765185	Sequencing	nssv3769696	M	1	1	0	DDX11L1,FAM138A,FAM138F,MIR6859-1,MIR6859-2,OR4F5,WASH7P	KWP1
nsv945700	1	22118	22723	CNV	duplication	Sudmant_et_al_2013	23825009	Oligo aCGH,Sequencing	nssv2572127,nssv2570974,nssv2571007,nssv2570996,nssv2571018,nssv2570930,nssv2570963,nssv2570941,nssv2571099,nssv2572228,nssv2570985,nssv2570952	M	97	10	0	WASH7P	HGDP00456,HGDP00521,HGDP00542,HGDP00665,HGDP00778,HGDP00927,HGDP00998,HGDP01029,HGDP01284,HGDP01307
nsv945699	1	22118	35020	CNV	duplication	Sudmant_et_al_2013	23825009	Oligo aCGH,Sequencing	nssv1755475,nssv1749217,nssv1749258,nssv1749240,nssv1749206,nssv1749226,nssv1755466,nssv1749220,nssv1755469,nssv1749252,nssv1755476,nssv1749255,nssv1755461,nssv1749209,nssv1755464,nssv1749242,nssv1749265,nssv1749221,nssv1749262,nssv1749232,nssv1749202,nssv1749213,nssv1749214,nssv1749254,nssv1755480,nssv1749237,nssv1749261,nssv1749244,nssv1749257,nssv1749219,nssv1755468,nssv1749236,nssv1755474,nssv1749215,nssv1749210,nssv1749224,nssv1755478,nssv1749246,nssv1749266,nssv1749249,nssv1755471,nssv1749239,nssv1755472,nssv1749253,nssv1755477,nssv1749251,nssv1749211,nssv1749208,nssv1755467,nssv1749235,nssv1755473,nssv1749241,nssv1749264,nssv1749205,nssv1749260,nssv1749222,nssv1755465,nssv1749229,nssv1749204,nssv1749238,nssv1755462,nssv1749218,nssv1755463,nssv1749227,nssv1749203,nssv1749248,nssv1749263,nssv1749230,nssv1755479,nssv1749228,nssv1749259,nssv1749250,nssv1749231,nssv1749233,nssv1749216,nssv1749207,nssv1749247,nssv1755460,nssv1749225,nssv1749243	M	97	10	0	FAM138A,FAM138F,WASH7P	HGDP00456,HGDP00521,HGDP00542,HGDP00665,HGDP00778,HGDP00927,HGDP00998,HGDP01029,HGDP01284,HGDP01307
nsv945484	1	23661	24819	CNV	duplication	Sudmant_et_al_2013	23825009	Oligo aCGH,Sequencing	nssv2575222,nssv2575215,nssv2576584,nssv2576570,nssv2576583,nssv2575223,nssv2575214,nssv2576549,nssv2576580,nssv2576561,nssv2570921,nssv2576560,nssv2575209,nssv2576552,nssv2575211,nssv2576562,nssv2574190,nssv2576577,nssv2576581,nssv2576186,nssv2572821,nssv2575440,nssv2570923,nssv2576574,nssv2575210,nssv2576555,nssv2572826,nssv2575224,nssv2572962,nssv2575221,nssv2572831,nssv2576556,nssv2572827,nssv2576548,nssv2576582,nssv2575217,nssv2573987,nssv2576572,nssv2572828,nssv2576563,nssv2576585,nssv2575984,nssv2572824,nssv2576085,nssv2570922,nssv2572738,nssv2575220,nssv2576566,nssv2572830,nssv2576568,nssv2570920,nssv2576565,nssv2572861,nssv2575237,nssv2574088,nssv2576573,nssv2575208,nssv2575218,nssv2572820,nssv2576557,nssv2575212,nssv2576547,nssv2572822,nssv2575338,nssv2572823,nssv2576567,nssv2572829,nssv2576559,nssv2575188,nssv2576569,nssv2575219,nssv2576578,nssv2576571,nssv2576550,nssv2576551,nssv2576558,nssv2576554,nssv2576579,nssv2575213,nssv2576576	M	97	10	0	WASH7P	HGDP00456,HGDP00521,HGDP00542,HGDP00665,HGDP00778,HGDP00927,HGDP00998,HGDP01029,HGDP01284,HGDP01307
nsv469759	1	27980	177346	CNV	gain	Locke_et_al_2006	16826518	BAC aCGH	nssv1675941,nssv1672301,nssv1674201,nssv1673353,nssv1673181,nssv1673526,nssv1672137,nssv1675248,nssv1676076,nssv1674071,nssv1675044,nssv1675415,nssv1672641,nssv1676217	M	265	14	0	FAM138A,FAM138F,LOC729737,OR4F5,WASH7P	
nsv471591	1	27981	177346	CNV	loss	Sharp_et_al_2005	15918152	BAC aCGH,FISH	nssv550438,nssv550437,nssv550436,nssv550435	M	48	0	4	FAM138A,FAM138F,LOC729737,OR4F5,WASH7P	NA10492,NA10970,NA10971,NA17051
esv3433926	1	28989	35387	CNV	duplication	1000_Genomes_Consortium_Pilot_Project	20981092	Digital array,Oligo aCGH,PCR,Sequencing	essv8692083	M	185	1	0	FAM138A,FAM138F,WASH7P	NA12892
nsv945486	1	30626	35020	CNV	duplication	Sudmant_et_al_2013	23825009	Oligo aCGH,Sequencing	nssv2570932,nssv2570958,nssv2570933,nssv2570961,nssv2570935,nssv2570929,nssv2570927,nssv2570948,nssv2570956,nssv2570949,nssv2570939,nssv2570959,nssv2570926,nssv2570971,nssv2570976,nssv2570977,nssv2570955,nssv2570957,nssv2570953,nssv2570964,nssv2570951,nssv2570969,nssv2570970,nssv2570973,nssv2570944,nssv2570967,nssv2570975,nssv2570938,nssv2570947,nssv2570972,nssv2570966,nssv2570934,nssv2570940,nssv2570968,nssv2570931,nssv2570945,nssv2570962,nssv2570937,nssv2570942,nssv2570943,nssv2570950,nssv2570960,nssv2570946,nssv2570936,nssv2570954,nssv2570925,nssv2570928,nssv2570965	M	97	10	0	FAM138A,FAM138F	HGDP00456,HGDP00521,HGDP00542,HGDP00665,HGDP00778,HGDP00927,HGDP00998,HGDP01029,HGDP01284,HGDP01307
nsv1139462	1	32400	35100	CNV	duplication	Alsmadi_et_al_2014	24896259	Sequencing	nssv3977049	M	2	1	0	FAM138A,FAM138F	KWS2
nsv1110123	1	33700	36300	CNV	duplication	Alsmadi_et_al_2014	24896259	Sequencing	nssv3959388	M	2	1	0	FAM138A,FAM138F	KWS1
nsv945487	1	35020	41109	CNV	duplication	Sudmant_et_al_2013	23825009	Oligo aCGH,Sequencing	nssv2570986,nssv2570979,nssv2570980,nssv2570981,nssv2570984,nssv2570987,nssv2570989,nssv2570988,nssv2570978,nssv2570982,nssv2570983	M	97	10	0	FAM138A,FAM138F	HGDP00456,HGDP00521,HGDP00542,HGDP00665,HGDP00778,HGDP00927,HGDP00998,HGDP01029,HGDP01284,HGDP01307
esv3411655	1	37489	43587	CNV	duplication	1000_Genomes_Consortium_Pilot_Project	20981092	Digital array,Oligo aCGH,PCR,Sequencing	essv8692270	M	185	1	0		NA19238
esv3430433	1	38889	40687	CNV	duplication	1000_Genomes_Consortium_Pilot_Project	20981092	Digital array,Oligo aCGH,PCR,Sequencing	essv8692283	M	185	1	0		NA12878
esv3368735	1	44989	51487	CNV	duplication	1000_Genomes_Consortium_Pilot_Project	20981092	Digital array,Oligo aCGH,PCR,Sequencing	essv8692302	M	185	1	0		NA19238
dgv1n54	1	45531	121042	CNV	loss	Cooper_et_al_2011	21841781	Oligo aCGH,SNP array	nsv544869,nsv544866,nsv544868	M	17421	0	3	OR4F5	
esv3369077	1	45789	46987	CNV	duplication	1000_Genomes_Consortium_Pilot_Project	20981092	Digital array,Oligo aCGH,PCR,Sequencing	essv8692306	M	185	1	0		NA19239
esv3428396	1	45889	53987	CNV	duplication	1000_Genomes_Consortium_Pilot_Project	20981092	Digital array,Oligo aCGH,PCR,Sequencing	essv8692307	M	185	1	0		NA19240
nsv951399	1	46501	71800	CNV	duplication	Dogan_et_al_2014	24416366	Sequencing	nssv2997203	M	1	1	0	OR4F5	BILGI_BIOE
esv3439865	1	47689	51487	CNV	duplication	1000_Genomes_Consortium_Pilot_Project	20981092	Digital array,Oligo aCGH,PCR,Sequencing	essv8692320	M	185	1	0		NA19239
nsv544867	1	49298	82154	CNV	gain+loss	Cooper_et_al_2011	21841781	Oligo aCGH,SNP array	nssv707616,nssv707617	M	17421	1	1	OR4F5	
nsv1112509	1	51800	52300	CNV	deletion	Alsmadi_et_al_2014	24896259	Sequencing	nssv3966608	M	2	0	1		KWS2
esv3335281	1	52089	54387	CNV	duplication	1000_Genomes_Consortium_Pilot_Project	20981092	Digital array,Oligo aCGH,PCR,Sequencing	essv8692333	M	185	1	0		NA19238
nsv1112510	1	53700	63800	CNV	deletion	Alsmadi_et_al_2014	24896259	Sequencing	nssv3966609	M	2	0	1		KWS2
nsv1118083	1	53900	54800	CNV	deletion	Alsmadi_et_al_2014	24896259	Sequencing	nssv3980301	M	2	0	1		KWS1
nsv1143416	1	55100	56000	CNV	deletion	Alsmadi_et_al_2014	24896259	Sequencing	nssv3980613	M	2	0	1		KWS1
nsv437198	1	55394	86303	CNV	loss	Conrad_et_al_2006	16327808	Oligo aCGH,SNP array	nssv467079	M	60	0	1	OR4F5	NA19208
nsv1126159	1	56400	57400	CNV	deletion	Alsmadi_et_al_2014	24896259	Sequencing	nssv3984385	M	2	0	1		KWS1
nsv1143417	1	57600	58500	CNV	deletion	Alsmadi_et_al_2014	24896259	Sequencing	nssv3980614	M	2	0	1		KWS1
nsv1126160	1	61200	64200	CNV	deletion	Alsmadi_et_al_2014	24896259	Sequencing	nssv3984386	M	2	0	1		KWS1
dgv2n100	1	61723	792480	CNV	gain+loss	Coe_et_al_2014	25217958	Oligo aCGH,SNP array	nsv1004629,nsv1010257,nsv1014330,nsv1009070,nsv998573	M	29084	41	6	FAM87B,LINC00115,LINC01128,LOC100132062,LOC100132287,LOC100133331,LOC100288069,LOC729737,MIR6723,OR4F16,OR4F29,OR4F3,OR4F5	
nsv999242	1	61723	824124	CNV	loss	Coe_et_al_2014	25217958	Oligo aCGH,SNP array	nssv3479990	M	29084	0	1	FAM41C,FAM87B,LINC00115,LINC01128,LOC100132062,LOC100132287,LOC100133331,LOC100288069,LOC729737,MIR6723,OR4F16,OR4F29,OR4F3,OR4F5	
dgv3n100	1	61723	837073	CNV	gain	Coe_et_al_2014	25217958	Oligo aCGH,SNP array	nsv1002580,nsv1002712,nsv1001549,nsv997879,nsv1011222,nsv1007490,nsv999814,nsv999289,nsv1013955,nsv999976,nsv1011779,nsv1009584,nsv1000964,nsv998077,nsv1011132,nsv1007952,nsv1010556,nsv1001532,nsv1012687	M	29084	59	0	FAM41C,FAM87B,LINC00115,LINC01128,LOC100132062,LOC100132287,LOC100133331,LOC100288069,LOC729737,MIR6723,OR4F16,OR4F29,OR4F3,OR4F5	
dgv2e59	1	63489	66287	CNV	duplication	1000_Genomes_Consortium_Pilot_Project	20981092	Digital array,Oligo aCGH,PCR,Sequencing	esv3333057,esv3353898	M	185	2	0		NA19238,NA19240
dgv2n106	1	65800	66900	CNV	deletion	Alsmadi_et_al_2014	24896259	Sequencing	nsv1143418,nsv1130934	M	2	0	2		KWS1,KWS2
nsv437859	1	66008	79078	CNV	loss	McCarroll_et_al_2006	16468122	SNP array	nssv471090,nssv469962,nssv468851,nssv471201,nssv471312,nssv470979,nssv467740,nssv471423	M	269	0	8	OR4F5	NA10831,NA10857,NA12044,NA12155,NA18912,NA18914,NA19207,NA19208
dgv3e59	1	66789	68887	CNV	duplication	1000_Genomes_Consortium_Pilot_Project	20981092	Digital array,Oligo aCGH,PCR,Sequencing	esv3366041,esv3341557,esv3441117	M	185	3	0		NA19238,NA19239,NA19240
